Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
Verizon,nobleltevzw,Samsung,Galaxy Note5,3840MB,Phone,Samsung Exynos 7420,ARM Mali T760 (772 MHz),1080x1920,560,arm64-v8a;armeabi;armeabi-v7a,24,3.2,0,0.00%,0.00%,0.00%
Vankyo,Z10,Vankyo,Z10,3102MB,Tablet,Mediatek MT8163,ARM Mali T720 (520 MHz),1200x1920,213,arm64-v8a;armeabi;armeabi-v7a,28,3.1,0,0.00%,0.00%,0.00%
Kogan,cottongreen,Kogan,Kogan G7,2802MB,TV,Realtek RTD2885N,,1080x1920,320,armeabi;armeabi-v7a,30,3.2,0,0.00%,0.00%,0.00%
Coolpad,A8-930,Coolpad,A8-930,2824MB,Phone,Qualcomm MSM8939,Qualcomm Adreno 405 (550 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
COLORROOM,K10C,COLORROOM,K10C,2026MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
ARCELIK,sinchon,Arçelik,Arçelik Android TV,1415MB,TV,MStar T22,ARM Mali 470 (550 MHz),1080x1920,320,armeabi;armeabi-v7a,30,2.0,0,0.00%,0.00%,0.00%
PRITOM,L8_EEA,Pritom,L8_EEA,2023MB,Tablet,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),800x1280,213,armeabi;armeabi-v7a,29,3.2,0,0.00%,0.00%,0.00%
Huawei,hwmt1-u06,Huawei,MT1,1880MB,Phone,HiSilicon Hi3620,Vivante GC 4000 (240 MHz),720x1208,240,armeabi;armeabi-v7a,16,2.0,0,0.00%,0.00%,0.00%
Teclast,M50HD_EEA,Teclast,M50HD_EEA,8150MB,Tablet,Spreadtrum T606,ARM Mali G57 (650 MHz),1200x1920,280,arm64-v8a;armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
Honeywell,CT37,Honeywell,CT37,7882MB,Phone,Qualcomm QCM4490,Qualcomm Adreno 613 (1010 MHz),1080x2280,480,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
AAUW,M50,AAUW,M50,8140MB,Tablet,Spreadtrum T616,ARM Mali G57 (750 MHz),1200x2000,260,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
